Дата,Субъект РФ,Инициаторы действия,Вид населенного пункта,Населенный пункт,Кластер,Тема,Объект,Вид объекта,Действие,Ссылка,,
21.01.2012,Белгородская область,8. Неизвестно,2.Село,Майский,2.СоцПол,2.9 Иное,Василий Горин,1. Личность,1. Установка,https://ria.ru/20120121/545244124.html,,
04.08.2012,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.6. Политика,Юрий Трубецкой,1. Личность,1. Установка,https://ria.ru/20120804/716108273.html,,
21.09.2012,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,3.Иное,Фен ,0. Обезличенные,1. Установка,https://ria.ru/20120921/755799527.html,,
06.10.2012,Белгородская область,2. Федеральные власти,1.Город,Белгород,2.СоцПол,2.3. Искусство,Михаил Шолохов,1. Личность,1. Установка,https://ria.ru/20121006/767766565.html,Добавлено,
12.03.2013,Белгородская область,3. Региональные власти,1.Город,Белгород,2.СоцПол,2.7 Цари/императоры/вожди,В. И. Ленин,1. Личность,3. Демонтаж,https://www.mk.ru/social/2013/03/13/824901-vlasti-belgoroda-snesli-pamyatnik-leninu.html,,
15.03.2013,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.9 Иное,Студенческие стройотряды,0. Обезличенные,1. Установка,https://ria.ru/20130315/927477718.html,Добавлено,
06.07.2013,Белгородская область,6. Частное лицо,1.Город,Белгород,3.Иное,3.Иное,Дорожная яма,0. Обезличенные,1. Установка,https://www.bel.kp.ru/online/news/1479992/,,
10.07.2013,Белгородская область,8. Неизвестно,1.Город,Белгород,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Город воинской славы,0. Обезличенные,1. Установка,https://ria.ru/20130710/948767451.html,,
05.08.2013,Белгородская область,6. Частное лицо,2.Село,Мазикино,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Солдаты ВОВ,0. Обезличенные,1. Установка,https://chr.aif.ru/society/history/862374,,
07.08.2013,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.9 Иное,Строитель,0. Обезличенные,1. Установка,http://bel.kp.ru/online/news/1505907/,,
06.05.2014,Белгородская область,8. Неизвестно,2.Село,Большебыково,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Вдовы фронтовиков,2. Группа,1. Установка,https://www.bel.kp.ru/online/news/1728728/,,
12.05.2014,Белгородская область,5. НПО,2.Село,Старый Оскол,2.СоцПол,2.5. Здравоохранение,Медсестра,0. Обезличенные,1. Установка,https://www.bel.kp.ru/online/news/1734853/,,
14.07.2014,Белгородская область,8. Неизвестно,2.Село,Старый Оскол,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Дети войны,2. Группа,1. Установка,https://www.bel.kp.ru/online/news/1791730/,,
01.08.2014,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.6. Политика,Богдан Хмельницкий,1. Личность,1. Установка,http://www.mngz.ru/russia-world-sensation/637743-v-belgorode-otkryli-pamyatnik-bogdanu-hmelnickomu.html,,
04.08.2014,Белгородская область,8. Неизвестно,1.Город,Белгород,1.Война,1.5. Локальные конфликты,Участники локальных войн и конфликтов,2. Группа,1. Установка,https://chr.aif.ru/belgorod/events/1308891,,
05.08.2014,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.4. Религия,Сергий Радонежский,1. Личность,1. Установка,http://belgorodtv.ru/?p=56755,,
26.09.2014,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.3. Искусство,Борис Пастернак,1. Личность,1. Установка,https://www.bel.kp.ru/online/news/1855626/,,
14.04.2015,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.4. Религия,Серафим Саровский,1. Личность,1. Установка,http://belgorodtv.ru/?p=74709,,
17.05.2015,Белгородская область,8. Неизвестно,2.Село,Прохоровка,2.СоцПол,2.4. Религия,Алексей II,1. Личность,1. Установка,http://chr.mk.ru/articles/2015/05/17/pamyatnik-alekseyu-ii-otkryli-v-belgorodskoy-prokhorovke.html,,
11.06.2015,Белгородская область,3. Региональные власти,2.Село,Крутой Лог,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Советские воины, погибшие в ВОВ",2. Группа,1. Установка,http://belgorodtv.ru/?p=117556,,
05.08.2015,Белгородская область,6. Частное лицо,1.Город,Белгород,1.Война,1.4. Великая Отечественная война/Вторая мировая война,"Горожане, не вернувшиеся с войны",0. Обезличенные,1. Установка,http://belgorodtv.ru/?p=82192,,
05.08.2015,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.2. Образование и наука,"Юрий Шмелев, краевед",1. Личность,1. Установка,http://www.mngz.ru/russia-world-sensation/1319132-chuvstvo-rodiny.html,,
02.09.2015,Белгородская область,8. Неизвестно,2.Село,Белый Колодезь,2.СоцПол,2.2. Образование и наука,Выпускники,0. Обезличенные,1. Установка,http://belgorodtv.ru/?p=83376,,
29.09.2015,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.3. Искусство,Бродский,1. Личность,1. Установка,http://chr.mk.ru/articles/2015/09/29/v-belgorode-poyavilsya-pamyatnik-brodskomu.html,,
18.12.2015,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.8. ФОИВЫ,Пожарные и спасатели,0. Обезличенные,1. Установка,https://www.bel.kp.ru/online/news/2255103/,,
19.02.2016,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.8. ФОИВЫ,Кинолог и собака,0. Обезличенные,1. Установка,https://chr.mk.ru/articles/2016/02/19/v-belgorode-otkryli-pamyatnik-kinologu.html,,
31.07.2016,Белгородская область ,8. Неизвестно,2.Село,Шебекино,2.СоцПол,2.6. Политика,Основатели слободы Шебекино Иван Дмитриевич Шибеко,1. Личность,1. Установка,http://www.mngz.ru/russia-world-sensation/2117012-v-shebekinskom-rayone-otkryt-pamyatnik-v-chest-osnovatelya-shebekino-ivana-dmitrievicha-shibeko.html,,
05.08.2016,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.7 Цари/императоры/вожди,Федор Иоаннович,1. Личность,1. Установка,http://www.mngz.ru/russia-world-sensation/2131213-den-goroda-fotoreportazh-kto-gde-i-kak-pogulyal-v-belgorode.html https://tass.ru/v-strane/3513292,,
13.09.2016,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,3.Иное,Лесничий,0. Обезличенные,1. Установка,http://www.mngz.ru/russia-world-sensation/2230265-v-belgorode-poyavilsya-pamyatnik-lesnichemu.html,,
30.06.2017,Белгородская область,8. Неизвестно,2.Село,Подсереднее,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Александр Диканев,1. Личность,1. Установка,http://belgorodtv.ru/?p=120107,,
07.05.2018,Белгородская область,8. Неизвестно,1.Город,Белгород,3.Иное,3.Иное,Сковорода,0. Обезличенные,1. Установка,http://chr.mk.ru/social/2018/05/07/na-belgorodskom-festivale-otkryli-pamyatnik-skovorode.html,,
10.07.2018,Белгородская область,8. Неизвестно,2.Село,Новый Оскол,2.СоцПол,2.9 Иное,Многодетная семья,2. Группа,1. Установка,https://chr.mk.ru/social/2018/07/10/v-novom-oskole-otkryli-pamyatnik-mnogodetnym-semyam.html,,
17.07.2018,Белгородская область,8. Неизвестно,2.Село,Ровеньки,2.СоцПол,2.9 Иное,Мотоциклисты,0. Обезличенные,1. Установка,https://www.bel.kp.ru/online/news/3176724/,,
23.07.2018,Белгородская область,8. Неизвестно,1.Город,Белгород,2.СоцПол,2.8. ФОИВЫ,Солдаты правопорядка,0. Обезличенные,1. Установка,https://chr.mk.ru/culture/2018/07/23/v-belgorode-otkryli-pamyatnik-soldatam-pravoporyadka.html https://www.bel.kp.ru/online/news/3180962/,,
10.09.2018,Белгородская область,8. Неизвестно,1.Город,Грайворон,1.Война,1.6. Иное,Вертолет МИ-24,0. Обезличенные,1. Установка,https://www.bel.kp.ru/online/news/3231501/,,
10.09.2018,Белгородская область,8. Неизвестно,2.Село,Солоти,1.Война,1.4. Великая Отечественная война/Вторая мировая война,Танк Т-34,0. Обезличенные,1. Установка,https://tass.ru/obschestvo/5546681,,
16.10.2018,Белгородская область,6. Частное лицо,1.Город,Белгород,1.Война,1.6. Иное,Моряки ,0. Обезличенные,1. Установка,http://belgorodtv.ru/?p=141664,,
10.12.2018,Белгородская область,4. GONGO – неправительственные но работающие на государство организации,2.Село,Шеино,1.Война,1.5. Локальные конфликты,Юрий Ворновский,1. Личность,1. Установка,http://belgorodtv.ru/?p=143883  https://www.belpressa.ru/society/drugoe/23760.html,,
